lab_subject_id,lab_trial_id,trial_num,condition,experiment_num,aoi_region_id,dataset_id,distractor_image,distractor_label,full_phrase,point_of_disambiguation,target_image,target_label,target_side,distractor_id,target_id,trial_id
lmu_adult06,FAM_LL1_1280x960.avi,1,LL,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,left,0,0,64
lmu_adult06,FAM_LL2_1280x960.avi,5,LL,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,left,0,0,65
lmu_adult06,FAM_LR1_1280x960.avi,7,LR,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,right,0,0,66
lmu_adult06,FAM_LR2_1280x960.avi,2,LR,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,right,0,0,67
lmu_adult06,FAM_RL1_1280x960.avi,8,RL,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,left,0,0,68
lmu_adult06,FAM_RL2_1280x960.avi,6,RL,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,left,0,0,69
lmu_adult06,FAM_RR1_1280x960.avi,4,RR,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,right,0,0,70
lmu_adult06,FAM_RR2_1280x960.avi,3,RR,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,right,0,0,71
lmu_adult07,FAM_LL1_1280x960.avi,8,LL,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,left,0,0,72
lmu_adult07,FAM_LL2_1280x960.avi,4,LL,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,left,0,0,73
lmu_adult07,FAM_LR1_1280x960.avi,2,LR,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,right,0,0,74
lmu_adult07,FAM_LR2_1280x960.avi,7,LR,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,right,0,0,75
lmu_adult07,FAM_RL1_1280x960.avi,1,RL,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,left,0,0,76
lmu_adult07,FAM_RL2_1280x960.avi,3,RL,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,left,0,0,77
lmu_adult07,FAM_RR1_1280x960.avi,5,RR,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,right,0,0,78
lmu_adult07,FAM_RR2_1280x960.avi,6,RR,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,right,0,0,79
lmu_adult08,FAM_LL1_1280x960.avi,8,LL,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,left,0,0,80
lmu_adult08,FAM_LL2_1280x960.avi,4,LL,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,left,0,0,81
lmu_adult08,FAM_LR1_1280x960.avi,2,LR,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,right,0,0,82
lmu_adult08,FAM_LR2_1280x960.avi,7,LR,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,right,0,0,83
lmu_adult08,FAM_RL1_1280x960.avi,1,RL,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,left,0,0,84
lmu_adult08,FAM_RL2_1280x960.avi,3,RL,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,left,0,0,85
lmu_adult08,FAM_RR1_1280x960.avi,5,RR,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,right,0,0,86
lmu_adult08,FAM_RR2_1280x960.avi,6,RR,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,right,0,0,87
lmu_adult09,FAM_LL1_1280x960.avi,1,LL,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,left,0,0,88
lmu_adult09,FAM_LL2_1280x960.avi,5,LL,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,left,0,0,89
lmu_adult09,FAM_LR1_1280x960.avi,7,LR,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,right,0,0,90
lmu_adult09,FAM_LR2_1280x960.avi,2,LR,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,right,0,0,91
lmu_adult09,FAM_RL1_1280x960.avi,8,RL,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,left,0,0,92
lmu_adult09,FAM_RL2_1280x960.avi,6,RL,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,left,0,0,93
