dataset_id,subject_id,trial_id,t,aoi,aoi_data_id
9,3,25,2175,target,33993
9,3,25,2200,target,33994
9,3,25,2225,target,33995
9,3,25,2250,target,33996
9,3,25,2275,target,33997
9,3,25,2300,target,33998
9,3,25,2325,target,33999
9,3,25,2350,target,34000
9,3,25,2375,target,34001
9,3,25,2400,target,34002
9,3,25,2425,target,34003
9,3,25,2450,target,34004
9,3,25,2475,target,34005
9,3,25,2500,target,34006
9,3,25,2525,target,34007
9,3,25,2550,target,34008
9,3,25,2575,target,34009
9,3,25,2600,target,34010
9,3,25,2625,target,34011
9,3,25,2650,target,34012
9,3,25,2675,target,34013
9,3,25,2700,target,34014
9,3,25,2725,target,34015
9,3,25,2750,target,34016
9,3,25,2775,target,34017
9,3,25,2800,target,34018
9,3,25,2825,target,34019
9,3,25,2850,target,34020
9,3,25,2875,target,34021
9,3,25,2900,target,34022
9,3,25,2925,target,34023
9,3,25,2950,target,34024
9,3,25,2975,target,34025
9,3,25,3000,target,34026
9,3,25,3025,target,34027
9,3,25,3050,target,34028
9,3,25,3075,target,34029
9,3,25,3100,target,34030
9,3,25,3125,target,34031
9,3,25,3150,target,34032
9,3,25,3175,target,34033
9,3,25,3200,target,34034
9,3,25,3225,target,34035
9,3,25,3250,target,34036
9,3,25,3275,target,34037
9,3,25,3300,target,34038
9,3,25,3325,target,34039
9,3,25,3350,target,34040
9,3,25,3375,target,34041
9,3,25,3400,target,34042
9,3,25,3425,target,34043
9,3,25,3450,target,34044
9,3,25,3475,target,34045
9,3,25,3500,target,34046
9,3,25,3525,target,34047
9,3,25,3550,target,34048
9,3,25,3575,target,34049
9,3,25,3600,target,34050
9,3,25,3625,target,34051
9,3,25,3650,target,34052
9,3,25,3675,target,34053
9,3,25,3700,target,34054
9,3,25,3725,target,34055
9,3,25,3750,target,34056
9,3,25,3775,target,34057
9,3,25,3800,target,34058
9,3,25,3825,target,34059
9,3,25,3850,target,34060
9,3,25,3875,target,34061
9,3,25,3900,target,34062
9,3,25,3925,target,34063
9,3,25,3950,target,34064
9,3,25,3975,target,34065
9,3,25,4000,target,34066
9,3,25,4025,target,34067
9,3,25,4050,target,34068
9,3,25,4075,target,34069
9,3,25,4100,target,34070
9,3,25,4125,target,34071
9,3,25,4150,target,34072
9,3,25,4175,target,34073
9,3,25,4200,target,34074
9,3,25,4225,target,34075
9,3,25,4250,target,34076
9,3,25,4275,target,34077
9,3,25,4300,target,34078
9,3,25,4325,target,34079
9,3,25,4350,target,34080
9,3,25,4375,target,34081
9,3,25,4400,target,34082
9,3,25,4425,target,34083
9,3,25,4450,target,34084
9,3,25,4475,target,34085
9,3,25,4500,target,34086
9,3,25,4525,target,34087
9,3,25,4550,target,34088
9,3,25,4575,target,34089
9,3,25,4600,target,34090
9,3,25,4625,target,34091
9,3,25,4650,target,34092
9,3,25,4675,target,34093
9,3,25,4700,target,34094
9,3,25,4725,target,34095
9,3,25,4750,target,34096
9,3,25,4775,target,34097
9,3,25,4800,target,34098
9,3,25,4825,target,34099
9,3,25,4850,target,34100
9,3,25,4875,target,34101
9,3,25,4900,target,34102
9,3,25,4925,target,34103
9,3,25,4950,target,34104
9,3,25,4975,target,34105
9,3,25,5000,target,34106
9,3,25,5025,target,34107
9,3,25,5050,target,34108
9,3,25,5075,target,34109
9,3,25,5100,target,34110
9,3,25,5125,target,34111
9,3,25,5150,target,34112
9,3,25,5175,target,34113
9,3,25,5200,target,34114
9,3,25,5225,target,34115
9,3,25,5250,target,34116
9,3,25,5275,target,34117
9,3,25,5300,target,34118
9,3,25,5325,target,34119
9,3,25,5350,target,34120
9,3,25,5375,target,34121
9,3,25,5400,target,34122
9,3,25,5425,target,34123
9,3,25,5450,target,34124
9,3,25,5475,target,34125
9,3,25,5500,target,34126
9,3,25,5525,target,34127
9,3,25,5550,target,34128
9,3,25,5575,target,34129
9,3,25,5600,target,34130
9,3,25,5625,target,34131
9,3,25,5650,target,34132
9,3,25,5675,target,34133
9,3,25,5700,target,34134
9,3,25,5725,target,34135
9,3,25,5750,target,34136
9,3,25,5775,target,34137
9,3,25,5800,target,34138
9,3,25,5825,target,34139
9,3,25,5850,target,34140
9,3,25,5875,target,34141
9,3,25,5900,target,34142
9,3,25,5925,target,34143
9,3,25,5950,target,34144
9,3,25,5975,target,34145
9,3,25,6000,target,34146
9,3,25,6025,target,34147
9,3,25,6050,target,34148
9,3,25,6075,target,34149
9,3,25,6100,target,34150
9,3,25,6125,target,34151
9,3,25,6150,target,34152
9,3,25,6175,target,34153
9,3,25,6200,target,34154
9,3,25,6225,target,34155
9,3,25,6250,target,34156
9,3,25,6275,target,34157
9,3,25,6300,target,34158
9,3,25,6325,target,34159
9,3,25,6350,target,34160
9,3,25,6375,target,34161
9,3,25,6400,target,34162
9,3,25,6425,target,34163
9,3,25,6450,target,34164
9,3,25,6475,target,34165
9,3,25,6500,target,34166
9,3,25,6525,target,34167
9,3,25,6550,target,34168
9,3,25,6575,target,34169
9,3,25,6600,target,34170
9,3,25,6625,target,34171
9,3,25,6650,target,34172
9,3,25,6675,target,34173
9,3,25,6700,target,34174
9,3,25,6725,target,34175
9,3,25,6750,target,34176
9,3,25,6775,target,34177
9,3,25,6800,target,34178
9,3,25,6825,target,34179
9,3,25,6850,target,34180
9,3,25,6875,target,34181
9,3,25,6900,target,34182
9,3,25,6925,target,34183
9,3,25,6950,target,34184
9,3,25,6975,target,34185
9,3,25,7000,target,34186
9,3,25,7025,target,34187
9,3,25,7050,target,34188
9,3,25,7075,target,34189
9,3,25,7100,target,34190
9,3,25,7125,target,34191
9,3,25,7150,target,34192
9,3,25,7175,target,34193
9,3,25,7200,target,34194
9,3,25,7225,target,34195
9,3,25,7250,target,34196
9,3,25,7275,target,34197
9,3,25,7300,target,34198
9,3,25,7325,target,34199
9,3,25,7350,target,34200
9,3,25,7375,target,34201
9,3,25,7400,target,34202
9,3,25,7425,target,34203
9,3,25,7450,target,34204
9,3,25,7475,target,34205
9,3,25,7500,target,34206
9,3,25,7525,target,34207
9,3,25,7550,target,34208
9,3,25,7575,target,34209
9,3,25,7600,target,34210
9,3,25,7625,target,34211
9,3,25,7650,target,34212
9,3,25,7675,target,34213
9,3,25,7700,target,34214
9,3,25,7725,target,34215
9,3,25,7750,target,34216
9,3,25,7775,target,34217
9,3,25,7800,target,34218
9,3,25,7825,target,34219
9,3,25,7850,target,34220
9,3,25,7875,target,34221
9,3,25,7900,target,34222
9,3,25,7925,target,34223
9,3,25,7950,target,34224
9,3,25,7975,target,34225
9,3,25,8000,target,34226
9,3,25,8025,target,34227
9,3,25,8050,target,34228
