lab_trial_id,lab_subject_id,trial_order,trial_id,trial_type_aux_data,trial_aux_data,excluded,exclusion_reason,trial_type_id
FAM_RR,GAUG_002,4,20,fam4,fam1,FALSE,NA,35
FAM_RR,GAUG_002,4,20,fam4,fam2,FALSE,NA,35
FAM_RR,GAUG_002,4,20,fam4,fam3,FALSE,NA,35
FAM_RR,GAUG_002,4,20,fam4,fam4,FALSE,NA,35
FAM_RR,GAUG_002,4,20,fam4,test1,FALSE,NA,35
FAM_RR,GAUG_002,4,20,fam4,test2,FALSE,NA,35
IG_LL,GAUG_002,5,21,test1,fam1,FALSE,NA,0
IG_LL,GAUG_002,5,21,test1,fam2,FALSE,NA,0
IG_LL,GAUG_002,5,21,test1,fam3,FALSE,NA,0
IG_LL,GAUG_002,5,21,test1,fam4,FALSE,NA,0
IG_LL,GAUG_002,5,21,test1,test1,FALSE,NA,0
IG_LL,GAUG_002,5,21,test1,test2,FALSE,NA,0
KNOW_RR_ExitLeft_CON,GAUG_002,6,22,test2,fam1,FALSE,NA,29
KNOW_RR_ExitLeft_CON,GAUG_002,6,22,test2,fam2,FALSE,NA,29
KNOW_RR_ExitLeft_CON,GAUG_002,6,22,test2,fam3,FALSE,NA,29
KNOW_RR_ExitLeft_CON,GAUG_002,6,22,test2,fam4,FALSE,NA,29
KNOW_RR_ExitLeft_CON,GAUG_002,6,22,test2,test1,FALSE,NA,29
KNOW_RR_ExitLeft_CON,GAUG_002,6,22,test2,test2,FALSE,NA,29
star_calib (1),GAUG_002,7,23,calib check,fam1,FALSE,NA,NA
star_calib (1),GAUG_002,7,23,calib check,fam2,FALSE,NA,NA
star_calib (1),GAUG_002,7,23,calib check,fam3,FALSE,NA,NA
star_calib (1),GAUG_002,7,23,calib check,fam4,FALSE,NA,NA
star_calib (1),GAUG_002,7,23,calib check,test1,FALSE,NA,NA
star_calib (1),GAUG_002,7,23,calib check,test2,FALSE,NA,NA
star_calib (1),GAUG_004,0,24,calib check,fam1,FALSE,NA,NA
star_calib (1),GAUG_004,0,24,calib check,fam2,FALSE,NA,NA
star_calib (1),GAUG_004,0,24,calib check,fam3,FALSE,NA,NA
star_calib (1),GAUG_004,0,24,calib check,fam4,FALSE,NA,NA
star_calib (1),GAUG_004,0,24,calib check,test1,FALSE,NA,NA
star_calib (1),GAUG_004,0,24,calib check,test2,FALSE,NA,NA
FAM_LR,GAUG_004,1,25,fam1,fam1,FALSE,NA,33
FAM_LR,GAUG_004,1,25,fam1,fam2,FALSE,NA,33
FAM_LR,GAUG_004,1,25,fam1,fam3,FALSE,NA,33
FAM_LR,GAUG_004,1,25,fam1,fam4,FALSE,NA,33
FAM_LR,GAUG_004,1,25,fam1,test1,FALSE,NA,33
FAM_LR,GAUG_004,1,25,fam1,test2,FALSE,NA,33
FAM_LL,GAUG_004,2,26,fam2,fam1,FALSE,NA,32
FAM_LL,GAUG_004,2,26,fam2,fam2,FALSE,NA,32
FAM_LL,GAUG_004,2,26,fam2,fam3,FALSE,NA,32
FAM_LL,GAUG_004,2,26,fam2,fam4,FALSE,NA,32
FAM_LL,GAUG_004,2,26,fam2,test1,FALSE,NA,32
FAM_LL,GAUG_004,2,26,fam2,test2,FALSE,NA,32
FAM_RL,GAUG_004,3,27,fam3,fam1,FALSE,NA,34
FAM_RL,GAUG_004,3,27,fam3,fam2,FALSE,NA,34
FAM_RL,GAUG_004,3,27,fam3,fam3,FALSE,NA,34
FAM_RL,GAUG_004,3,27,fam3,fam4,FALSE,NA,34
FAM_RL,GAUG_004,3,27,fam3,test1,FALSE,NA,34
FAM_RL,GAUG_004,3,27,fam3,test2,FALSE,NA,34
FAM_RR,GAUG_004,4,28,fam4,fam1,FALSE,NA,35
FAM_RR,GAUG_004,4,28,fam4,fam2,FALSE,NA,35
FAM_RR,GAUG_004,4,28,fam4,fam3,FALSE,NA,35
FAM_RR,GAUG_004,4,28,fam4,fam4,FALSE,NA,35
FAM_RR,GAUG_004,4,28,fam4,test1,FALSE,NA,35
FAM_RR,GAUG_004,4,28,fam4,test2,FALSE,NA,35
IG_RL,GAUG_004,5,29,test1,fam1,FALSE,NA,2
IG_RL,GAUG_004,5,29,test1,fam2,FALSE,NA,2
IG_RL,GAUG_004,5,29,test1,fam3,FALSE,NA,2
IG_RL,GAUG_004,5,29,test1,fam4,FALSE,NA,2
IG_RL,GAUG_004,5,29,test1,test1,FALSE,NA,2
IG_RL,GAUG_004,5,29,test1,test2,FALSE,NA,2
KNOW_RL_ExitLeft_INC,GAUG_004,6,30,test2,fam1,FALSE,NA,27
KNOW_RL_ExitLeft_INC,GAUG_004,6,30,test2,fam2,FALSE,NA,27
KNOW_RL_ExitLeft_INC,GAUG_004,6,30,test2,fam3,FALSE,NA,27
KNOW_RL_ExitLeft_INC,GAUG_004,6,30,test2,fam4,FALSE,NA,27
KNOW_RL_ExitLeft_INC,GAUG_004,6,30,test2,test1,FALSE,NA,27
KNOW_RL_ExitLeft_INC,GAUG_004,6,30,test2,test2,FALSE,NA,27
star_calib (1),GAUG_004,7,31,calib check,fam1,FALSE,NA,NA
star_calib (1),GAUG_004,7,31,calib check,fam2,FALSE,NA,NA
star_calib (1),GAUG_004,7,31,calib check,fam3,FALSE,NA,NA
star_calib (1),GAUG_004,7,31,calib check,fam4,FALSE,NA,NA
star_calib (1),GAUG_004,7,31,calib check,test1,FALSE,NA,NA
star_calib (1),GAUG_004,7,31,calib check,test2,FALSE,NA,NA
star_calib (1),GAUG_005,0,32,calib check,fam1,FALSE,NA,NA
star_calib (1),GAUG_005,0,32,calib check,fam2,FALSE,NA,NA
star_calib (1),GAUG_005,0,32,calib check,fam3,FALSE,NA,NA
star_calib (1),GAUG_005,0,32,calib check,fam4,FALSE,NA,NA
star_calib (1),GAUG_005,0,32,calib check,test1,FALSE,NA,NA
star_calib (1),GAUG_005,0,32,calib check,test2,FALSE,NA,NA
FAM_LR,GAUG_005,1,33,fam1,fam1,FALSE,NA,33
FAM_LR,GAUG_005,1,33,fam1,fam2,FALSE,NA,33
FAM_LR,GAUG_005,1,33,fam1,fam3,FALSE,NA,33
FAM_LR,GAUG_005,1,33,fam1,fam4,FALSE,NA,33
FAM_LR,GAUG_005,1,33,fam1,test1,FALSE,NA,33
FAM_LR,GAUG_005,1,33,fam1,test2,FALSE,NA,33
FAM_LL,GAUG_005,2,34,fam2,fam1,FALSE,NA,32
FAM_LL,GAUG_005,2,34,fam2,fam2,FALSE,NA,32
FAM_LL,GAUG_005,2,34,fam2,fam3,FALSE,NA,32
FAM_LL,GAUG_005,2,34,fam2,fam4,FALSE,NA,32
FAM_LL,GAUG_005,2,34,fam2,test1,FALSE,NA,32
FAM_LL,GAUG_005,2,34,fam2,test2,FALSE,NA,32
FAM_RL,GAUG_005,3,35,fam3,fam1,FALSE,NA,34
FAM_RL,GAUG_005,3,35,fam3,fam2,FALSE,NA,34
FAM_RL,GAUG_005,3,35,fam3,fam3,FALSE,NA,34
FAM_RL,GAUG_005,3,35,fam3,fam4,FALSE,NA,34
FAM_RL,GAUG_005,3,35,fam3,test1,FALSE,NA,34
FAM_RL,GAUG_005,3,35,fam3,test2,FALSE,NA,34
FAM_RR,GAUG_005,4,36,fam4,fam1,FALSE,NA,35
FAM_RR,GAUG_005,4,36,fam4,fam2,FALSE,NA,35
FAM_RR,GAUG_005,4,36,fam4,fam3,FALSE,NA,35
FAM_RR,GAUG_005,4,36,fam4,fam4,FALSE,NA,35
FAM_RR,GAUG_005,4,36,fam4,test1,FALSE,NA,35
FAM_RR,GAUG_005,4,36,fam4,test2,FALSE,NA,35
IG_LR,GAUG_005,5,37,test1,fam1,FALSE,NA,1
IG_LR,GAUG_005,5,37,test1,fam2,FALSE,NA,1
IG_LR,GAUG_005,5,37,test1,fam3,FALSE,NA,1
IG_LR,GAUG_005,5,37,test1,fam4,FALSE,NA,1
IG_LR,GAUG_005,5,37,test1,test1,FALSE,NA,1
IG_LR,GAUG_005,5,37,test1,test2,FALSE,NA,1
KNOW_RL_ExitRight_CON,GAUG_005,6,38,test2,fam1,FALSE,NA,28
KNOW_RL_ExitRight_CON,GAUG_005,6,38,test2,fam2,FALSE,NA,28
KNOW_RL_ExitRight_CON,GAUG_005,6,38,test2,fam3,FALSE,NA,28
KNOW_RL_ExitRight_CON,GAUG_005,6,38,test2,fam4,FALSE,NA,28
KNOW_RL_ExitRight_CON,GAUG_005,6,38,test2,test1,FALSE,NA,28
KNOW_RL_ExitRight_CON,GAUG_005,6,38,test2,test2,FALSE,NA,28
star_calib (1),GAUG_005,7,39,calib check,fam1,FALSE,NA,NA
star_calib (1),GAUG_005,7,39,calib check,fam2,FALSE,NA,NA
star_calib (1),GAUG_005,7,39,calib check,fam3,FALSE,NA,NA
star_calib (1),GAUG_005,7,39,calib check,fam4,FALSE,NA,NA
star_calib (1),GAUG_005,7,39,calib check,test1,FALSE,NA,NA
star_calib (1),GAUG_005,7,39,calib check,test2,FALSE,NA,NA
