participant_lab_id,lab_id,participant_id,age_cohort,participant_gender,age_years,age_years_n,age_days,age_days_num,age_mo,age_exclusion
babylabBrookes_OBB_062-adults,babylabBrookes,OBB_062-adults,adults,woman,21,21,NA,NA,NA,no
babylabBrookes_OBB_063-adults,babylabBrookes,OBB_063-adults,adults,woman,21,21,NA,NA,NA,no
babylabBrookes_OBB_065-adults,babylabBrookes,OBB_065-adults,adults,woman,49,49,NA,NA,NA,no
babylabBrookes_OBB_067-adults,babylabBrookes,OBB_067-adults,adults,man,33,33,NA,NA,NA,no
babylabBrookes_OBB_068-adults,babylabBrookes,OBB_068-adults,adults,woman,25,25,NA,NA,NA,no
babylabBrookes_OBB_064-adults,babylabBrookes,OBB_064-adults,adults,woman,36,36,NA,NA,NA,no
babylabBrookes_OBB_066-adults,babylabBrookes,OBB_066-adults,adults,woman,27,27,NA,NA,NA,no
babylabBrookes_OBB_069-adults,babylabBrookes,OBB_069-adults,adults,woman,44,44,NA,NA,NA,no
babylabBrookes_OBB_070-adults,babylabBrookes,OBB_070-adults,adults,woman,26,26,NA,NA,NA,no
babylabBrookes_OBBI_02-toddlers,babylabBrookes,OBBI_02-toddlers,toddlers,girl,NA,NA,768,768,25.232032854209447,no
babylabBrookes_OBBI_03-toddlers,babylabBrookes,OBBI_03-toddlers,toddlers,boy,NA,NA,708,708,23.260780287474333,no
babylabBrookes_OBBI_04-toddlers,babylabBrookes,OBBI_04-toddlers,toddlers,girl,NA,NA,562,562,18.464065708418893,no
babylabBrookes_OBBI_05-toddlers,babylabBrookes,OBBI_05-toddlers,toddlers,girl,NA,NA,555,555,18.234086242299796,no
babylabBrookes_OBBI_06-toddlers,babylabBrookes,OBBI_06-toddlers,toddlers,girl,NA,NA,842,842,27.663244353182748,yes
babylabBrookes_OBBI_07-toddlers,babylabBrookes,OBBI_07-toddlers,toddlers,girl,NA,NA,577,577,18.95687885010267,no
babylabBrookes_OBBI_08-toddlers,babylabBrookes,OBBI_08-toddlers,toddlers,boy,NA,NA,554,554,18.201232032854207,no
babylabBrookes_OBBI_09-toddlers,babylabBrookes,OBBI_09-toddlers,toddlers,girl,NA,NA,678,678,22.275154004106774,no
babylabBrookes_OBBI_10-toddlers,babylabBrookes,OBBI_10-toddlers,toddlers,boy,NA,NA,720,720,23.655030800821354,no
babylabBrookes_OBBI_11-toddlers,babylabBrookes,OBBI_11-toddlers,toddlers,girl,NA,NA,564,564,18.529774127310063,no
