xy_data_id,subject_id,trial_id,x,y,t,point_of_disambiguation
426,0,3,938,261,-22866.404000000002,29960
427,0,3,944,267,-22849.654000000002,29960
428,0,3,946,256,-22833.033000000003,29960
429,0,3,930,257,-22816.407,29960
430,0,3,904,300,-22799.784,29960
431,0,3,896,298,-22783.038,29960
432,0,3,895,302,-22766.413999999997,29960
433,0,3,897,309,-22749.792,29960
434,0,3,899,306,-22733.17,29960
435,0,3,895,302,-22716.422,29960
436,0,3,896,301,-22699.798000000003,29960
437,0,3,900,309,-22683.150999999998,29960
438,0,3,996,369,-22666.466999999997,29960
439,0,3,1008,361,-22649.805,29960
440,0,3,1018,371,-22633.082000000002,29960
441,0,3,1025,368,-22616.534,29960
442,0,3,1017,377,-22599.936,29960
443,0,3,1021,379,-22583.189,29960
444,0,3,1028,369,-22566.566,29960
445,0,3,1026,375,-22549.943,29960
446,0,3,1023,376,-22533.320999999996,29960
447,0,3,1020,366,-22516.697,29960
448,0,3,1023,368,-22499.951999999997,29960
449,0,3,1022,370,-22483.328,29960
450,0,3,1031,372,-22466.703,29960
451,0,3,1022,369,-22449.968,29960
452,0,3,1024,375,-22433.336000000003,29960
453,0,3,1033,372,-22416.610999999997,29960
454,0,3,1033,377,-22400.021999999997,29960
455,0,3,1035,371,-22383.466,29960
456,0,3,1035,373,-22366.718,29960
457,0,3,1037,367,-22350.093999999997,29960
458,0,3,1037,373,-22333.472,29960
459,0,3,1036,375,-22316.843,29960
460,0,3,1045,365,-22300.099000000002,29960
461,0,3,1068,372,-22283.475,29960
462,0,3,1087,366,-22266.853000000003,29960
463,0,3,1094,372,-22250.229,29960
464,0,3,1096,368,-22233.483,29960
465,0,3,1093,363,-22216.86,29960
466,0,3,1098,359,-22200.237,29960
467,0,3,1100,360,-22183.614,29960
468,0,3,1094,355,-22166.864,29960
469,0,3,1101,350,-22150.243000000002,29960
470,0,3,1092,352,-22133.620000000003,29960
471,0,3,1095,353,-22116.997000000003,29960
472,0,3,1092,359,-22100.248,29960
473,0,3,1100,353,-22083.625,29960
474,0,3,1094,364,-22067.000999999997,29960
475,0,3,1093,363,-22050.379,29960
476,0,3,1094,362,-22033.631,29960
477,0,3,1087,335,-22017.009,29960
478,0,3,1085,313,-22000.388,29960
479,0,3,1090,295,-21983.762000000002,29960
480,0,3,1084,289,-21967.017,29960
481,0,3,1083,280,-21950.394,29960
482,0,3,1089,285,-21933.771,29960
483,0,3,1085,287,-21917.148999999998,29960
484,0,3,1086,292,-21900.400999999998,29960
485,0,3,1080,293,-21883.775999999998,29960
486,0,3,1088,289,-21867.156000000003,29960
487,0,3,1084,284,-21850.532,29960
488,0,3,1082,286,-21833.911,29960
489,0,3,1080,290,-21817.159999999996,29960
490,0,3,1075,281,-21800.538999999997,29960
491,0,3,1081,279,-21783.913999999997,29960
492,0,3,1078,283,-21767.292999999998,29960
493,0,3,1085,276,-21750.544,29960
494,0,3,1080,286,-21733.923000000003,29960
495,0,3,1082,280,-21717.298000000003,29960
496,0,3,1084,276,-21700.676,29960
497,0,3,1075,287,-21683.928,29960
498,0,3,1079,272,-21667.307,29960
499,0,3,1076,278,-21650.682999999997,29960
500,0,3,1078,275,-21634.059999999998,29960
501,0,3,1077,278,-21617.311999999998,29960
502,0,3,1075,271,-21600.690000000002,29960
503,0,3,1076,272,-21584.065000000002,29960
504,0,3,1086,277,-21567.445,29960
505,0,3,1096,270,-21550.695,29960
506,0,3,1095,250,-21534.072999999997,29960
507,0,3,1101,260,-21517.449,29960
508,0,3,1098,252,-21500.828,29960
509,0,3,1096,264,-21484.078999999998,29960
510,0,3,1098,257,-21467.459000000003,29960
511,0,3,1091,260,-21450.834000000003,29960
512,0,3,1099,266,-21434.212,29960
513,0,3,1094,261,-21417.461000000003,29960
514,0,3,1093,269,-21400.837999999996,29960
515,0,3,1096,268,-21384.218,29960
516,0,3,1089,265,-21367.593999999997,29960
517,0,3,1098,269,-21350.839,29960
518,0,3,1096,255,-21334.222,29960
519,0,3,1096,265,-21317.563000000002,29960
520,0,3,1093,270,-21300.972,29960
521,0,3,1094,262,-21284.229,29960
522,0,3,1096,265,-21267.565000000002,29960
523,0,3,1104,266,-21250.979999999996,29960
524,0,3,1096,268,-21234.358,29960
525,0,3,1099,269,-21217.733999999997,29960
526,0,3,1093,264,-21200.989,29960
527,0,3,1091,268,-21184.364999999998,29960
528,0,3,1101,262,-21167.742,29960
529,0,3,1097,265,-21151.118000000002,29960
530,0,3,1092,267,-21134.370000000003,29960
531,0,3,1085,257,-21117.750999999997,29960
532,0,3,979,240,-21101.125999999997,29960
533,0,3,874,231,-21084.504999999997,29960
534,0,3,841,233,-21067.754999999997,29960
535,0,3,838,255,-21051.133,29960
536,0,3,840,248,-21034.508,29960
537,0,3,839,252,-21017.888,29960
538,0,3,841,247,-21001.137000000002,29960
539,0,3,841,263,-20984.515,29960
540,0,3,835,257,-20967.892,29960
541,0,3,843,258,-20951.269999999997,29960
542,0,3,843,246,-20934.521999999997,29960
543,0,3,843,255,-20917.898,29960
544,0,3,837,255,-20901.277000000002,29960
545,0,3,844,253,-20884.639000000003,29960
546,0,3,844,243,-20867.904000000002,29960
547,0,3,845,249,-20851.282,29960
548,0,3,847,251,-20834.646,29960
549,0,3,848,251,-20818.034,29960
550,0,3,852,243,-20801.288,29960
551,0,3,846,262,-20784.648999999998,29960
552,0,3,840,250,-20768.042999999998,29960
553,0,3,840,256,-20751.42,29960
554,0,3,843,252,-20734.661,29960
555,0,3,844,255,-20718.050000000003,29960
556,0,3,849,258,-20701.426,29960
557,0,3,861,263,-20684.805,29960
558,0,3,861,265,-20668.182,29960
559,0,3,863,260,-20651.432999999997,29960
560,0,3,861,259,-20634.809,29960
561,0,3,864,254,-20618.186,29960
562,0,3,864,253,-20601.561999999998,29960
563,0,3,858,256,-20584.816,29960
564,0,3,863,258,-20568.193,29960
565,0,3,857,259,-20551.570999999996,29960
566,0,3,866,255,-20534.947999999997,29960
567,0,3,861,264,-20518.199999999997,29960
568,0,3,863,258,-20501.576999999997,29960
569,0,3,866,264,-20484.953999999998,29960
570,0,3,859,265,-20468.33,29960
571,0,3,872,258,-20451.584000000003,29960
572,0,3,859,255,-20434.958,29960
573,0,3,862,255,-20418.336000000003,29960
574,0,3,865,260,-20401.697,29960
575,0,3,871,251,-20384.966,29960
576,0,3,870,254,-20368.343,29960
577,0,3,874,253,-20351.709000000003,29960
578,0,3,861,257,-20335.097999999998,29960
579,0,3,864,257,-20318.349000000002,29960
580,0,3,858,255,-20301.716999999997,29960
581,0,3,865,256,-20285.104,29960
582,0,3,865,262,-20268.477,29960
583,0,3,862,261,-20251.703,29960
584,0,3,856,280,-20235.104,29960
585,0,3,869,347,-20218.485999999997,29960
620,0,3,1085,261,-19635.595,29960
621,0,3,1083,269,-19618.970999999998,29960
622,0,3,1084,269,-19602.345999999998,29960
623,0,3,1078,268,-19585.722,29960
624,0,3,1079,257,-19568.972999999998,29960
625,0,3,1011,266,-19552.35,29960
626,0,3,897,256,-19535.728000000003,29960
627,0,3,841,254,-19519.104999999996,29960
628,0,3,833,261,-19502.356,29960
629,0,3,837,259,-19485.731999999996,29960
630,0,3,835,261,-19469.110999999997,29960
631,0,3,837,266,-19452.489,29960
632,0,3,847,267,-19435.868000000002,29960
633,0,3,844,268,-19419.118000000002,29960
634,0,3,841,281,-19402.494,29960
635,0,3,846,272,-19385.871,29960
636,0,3,841,264,-19369.247000000003,29960
637,0,3,839,263,-19352.500999999997,29960
638,0,3,844,265,-19335.877999999997,29960
639,0,3,839,277,-19319.254,29960
640,0,3,843,268,-19302.631999999998,29960
641,0,3,846,270,-19285.883,29960
642,0,3,839,265,-19269.259,29960
643,0,3,840,274,-19252.638,29960
644,0,3,854,278,-19236.015,29960
645,0,3,865,292,-19219.264000000003,29960
646,0,3,858,297,-19202.642,29960
647,0,3,865,285,-19185.900999999998,29960
648,0,3,862,285,-19169.396,29960
649,0,3,862,291,-19152.591999999997,29960
650,0,3,867,284,-19136.025,29960
651,0,3,863,281,-19119.265,29960
652,0,3,867,289,-19102.658000000003,29960
653,0,3,867,292,-19086.031000000003,29960
654,0,3,865,301,-19069.405,29960
655,0,3,866,290,-19052.784999999996,29960
656,0,3,866,287,-19036.155,29960
657,0,3,870,290,-19019.388,29960
658,0,3,867,289,-19002.790999999997,29960
659,0,3,867,285,-18986.169,29960
660,0,3,867,287,-18969.546000000002,29960
661,0,3,860,286,-18952.796000000002,29960
662,0,3,854,304,-18936.176,29960
663,0,3,856,300,-18919.551,29960
664,0,3,864,303,-18902.926999999996,29960
665,0,3,869,295,-18886.212999999996,29960
666,0,3,874,293,-18869.555999999997,29960
667,0,3,868,311,-18852.885000000002,29960
668,0,3,859,309,-18836.311,29960
669,0,3,866,303,-18819.591,29960
670,0,3,868,308,-18802.940000000002,29960
671,0,3,858,299,-18786.317000000003,29960
672,0,3,867,306,-18769.694000000003,29960
673,0,3,858,305,-18753.070999999996,29960
674,0,3,864,306,-18736.324999999997,29960
675,0,3,866,311,-18719.701999999997,29960
676,0,3,864,316,-18703.078999999998,29960
677,0,3,863,417,-18686.457000000002,29960
678,0,3,861,455,-18669.658000000003,29960
679,0,3,862,461,-18653.084000000003,29960
680,0,3,863,461,-18636.46,29960
681,0,3,865,465,-18619.839,29960
682,0,3,862,458,-18603.091999999997,29960
683,0,3,868,464,-18586.466999999997,29960
684,0,3,865,467,-18569.841999999997,29960
685,0,3,868,461,-18553.148,29960
686,0,3,868,460,-18536.472999999998,29960
687,0,3,870,469,-18519.85,29960
688,0,3,867,463,-18503.225,29960
689,0,3,872,459,-18486.604999999996,29960
690,0,3,871,468,-18469.712999999996,29960
691,0,3,862,464,-18453.231999999996,29960
692,0,3,873,462,-18436.610999999997,29960
693,0,3,874,461,-18419.987999999998,29960
694,0,3,874,469,-18403.239,29960
695,0,3,873,476,-18386.614999999998,29960
696,0,3,871,468,-18369.993000000002,29960
697,0,3,874,467,-18353.369,29960
698,0,3,872,471,-18336.625,29960
699,0,3,871,469,-18320.000999999997,29960
700,0,3,875,467,-18303.377,29960
701,0,3,878,475,-18286.754999999997,29960
702,0,3,869,465,-18270.133,29960
703,0,3,879,470,-18253.385000000002,29960
704,0,3,879,467,-18236.760000000002,29960
705,0,3,886,457,-18220.136,29960
706,0,3,884,450,-18203.515999999996,29960
707,0,3,889,449,-18186.767,29960
708,0,3,895,452,-18170.144,29960
709,0,3,888,454,-18153.521999999997,29960
710,0,3,896,454,-18136.898,29960
711,0,3,894,453,-18120.138,29960
712,0,3,893,449,-18103.528,29960
713,0,3,895,458,-18086.900999999998,29960
714,0,3,893,456,-18070.277000000002,29960
715,0,3,901,452,-18053.527000000002,29960
716,0,3,896,458,-18036.906000000003,29960
717,0,3,891,460,-18020.284999999996,29960
718,0,3,897,462,-18003.663999999997,29960
719,0,3,901,461,-17986.913999999997,29960
720,0,3,898,457,-17970.286,29960
721,0,3,896,453,-17953.67,29960
722,0,3,902,456,-17937.046000000002,29960
723,0,3,892,456,-17920.299,29960
724,0,3,903,455,-17903.676,29960
725,0,3,902,465,-17887.053,29960
726,0,3,899,461,-17870.428,29960
727,0,3,903,460,-17853.682999999997,29960
728,0,3,909,457,-17837.057999999997,29960
729,0,3,901,450,-17820.436999999998,29960
730,0,3,906,463,-17803.813000000002,29960
731,0,3,906,460,-17787.066,29960
732,0,3,903,460,-17770.442000000003,29960
733,0,3,904,451,-17753.820999999996,29960
734,0,3,901,455,-17737.184999999998,29960
735,0,3,901,455,-17720.574,29960
736,0,3,898,455,-17703.826,29960
737,0,3,902,456,-17687.186999999998,29960
738,0,3,906,448,-17670.578999999998,29960
739,0,3,917,448,-17653.955,29960
740,0,3,912,446,-17637.193,29960
741,0,3,907,461,-17620.587999999996,29960
742,0,3,913,471,-17603.962999999996,29960
743,0,3,909,449,-17587.339999999997,29960
744,0,3,913,457,-17570.591999999997,29960
745,0,3,910,454,-17553.968999999997,29960
746,0,3,911,457,-17537.347,29960
747,0,3,906,444,-17520.724000000002,29960
748,0,3,902,457,-17503.972999999998,29960
749,0,3,906,454,-17487.353000000003,29960
750,0,3,911,450,-17470.729999999996,29960
751,0,3,906,450,-17454.106999999996,29960
752,0,3,914,457,-17437.360999999997,29960
753,0,3,908,456,-17420.739999999998,29960
754,0,3,919,449,-17404.114999999998,29960
755,0,3,914,458,-17387.491,29960
756,0,3,922,453,-17370.744,29960
757,0,3,911,450,-17354.121,29960
758,0,3,923,447,-17337.498,29960
759,0,3,918,453,-17320.875999999997,29960
760,0,3,926,451,-17304.127999999997,29960
761,0,3,919,449,-17287.504999999997,29960
762,0,3,927,449,-17270.879999999997,29960
763,0,3,951,431,-17254.246,29960
764,0,3,956,436,-17237.511,29960
765,0,3,968,441,-17220.888,29960
766,0,3,956,439,-17204.254,29960
767,0,3,968,429,-17187.642,29960
768,0,3,968,439,-17170.894,29960
769,0,3,961,436,-17154.258,29960
770,0,3,965,434,-17137.646999999997,29960
771,0,3,960,437,-17121.025,29960
772,0,3,970,437,-17104.269,29960
773,0,3,972,431,-17087.652000000002,29960
774,0,3,963,440,-17071.036,29960
775,0,3,970,442,-17054.411,29960
776,0,3,966,428,-17037.788,29960
777,0,3,965,436,-17021.04,29960
778,0,3,973,435,-17004.411999999997,29960
779,0,3,975,431,-16987.718999999997,29960
780,0,3,969,438,-16971.095999999998,29960
781,0,3,973,440,-16954.421000000002,29960
782,0,3,981,439,-16937.794,29960
783,0,3,979,435,-16921.173000000003,29960
784,0,3,979,438,-16904.545,29960
785,0,3,985,430,-16887.783000000003,29960
786,0,3,980,429,-16871.178,29960
787,0,3,973,426,-16854.498999999996,29960
788,0,3,985,431,-16837.932,29960
789,0,3,968,426,-16821.184,29960
790,0,3,969,438,-16804.561999999998,29960
791,0,3,963,435,-16787.938000000002,29960
792,0,3,962,444,-16771.317000000003,29960
793,0,3,967,437,-16754.569000000003,29960
794,0,3,963,443,-16737.947,29960
795,0,3,964,443,-16721.318,29960
796,0,3,949,446,-16704.701999999997,29960
797,0,3,956,448,-16687.953999999998,29960
798,0,3,958,441,-16671.326999999997,29960
799,0,3,960,440,-16654.707000000002,29960
800,0,3,960,439,-16638.085,29960
801,0,3,962,452,-16621.336000000003,29960
802,0,3,955,454,-16604.712999999996,29960
803,0,3,952,447,-16588.091,29960
804,0,3,957,445,-16571.466999999997,29960
805,0,3,954,448,-16554.72,29960
806,0,3,955,446,-16538.097999999998,29960
807,0,3,965,448,-16521.475,29960
808,0,3,959,443,-16504.758,29960
809,0,3,961,444,-16488.120000000003,29960
810,0,3,955,441,-16471.478000000003,29960
843,0,3,997,430,-15921.951,29960
844,0,3,997,429,-15905.287999999999,29960
845,0,3,991,436,-15888.563,29960
846,0,3,995,427,-15872.051999999998,29960
847,0,3,991,425,-15855.276,29960
848,0,3,989,433,-15838.710000000001,29960
849,0,3,986,426,-15822.084,29960
850,0,3,981,434,-15805.463999999998,29960
851,0,3,988,430,-15788.706,29960
852,0,3,989,419,-15772.090999999999,29960
853,0,3,984,426,-15755.469,29960
854,0,3,987,430,-15738.803999999998,29960
855,0,3,989,429,-15722.096,29960
856,0,3,986,428,-15705.405,29960
857,0,3,984,424,-15688.851,29960
858,0,3,982,418,-15672.229000000001,29960
859,0,3,978,434,-15655.479999999998,29960
860,0,3,986,432,-15638.855999999998,29960
861,0,3,987,427,-15622.233999999999,29960
862,0,3,983,420,-15605.607999999998,29960
863,0,3,984,422,-15588.864,29960
864,0,3,983,430,-15572.24,29960
865,0,3,981,420,-15555.617,29960
866,0,3,972,426,-15538.995,29960
867,0,3,977,427,-15522.245,29960
868,0,3,981,421,-15505.607999999998,29960
869,0,3,988,421,-15489.000999999998,29960
870,0,3,993,409,-15472.376999999999,29960
871,0,3,987,411,-15455.628999999999,29960
872,0,3,986,405,-15439.006,29960
873,0,3,988,404,-15422.378999999999,29960
874,0,3,987,400,-15405.76,29960
875,0,3,991,402,-15389.014000000001,29960
876,0,3,977,401,-15372.338999999998,29960
877,0,3,992,402,-15355.765999999998,29960
878,0,3,985,402,-15339.144999999999,29960
879,0,3,976,401,-15322.395999999999,29960
880,0,3,985,409,-15305.771999999999,29960
881,0,3,979,416,-15289.146999999999,29960
882,0,3,983,410,-15272.526,29960
883,0,3,980,405,-15255.904,29960
884,0,3,975,410,-15239.157000000001,29960
885,0,3,978,414,-15222.535999999998,29960
886,0,3,985,410,-15205.913999999999,29960
887,0,3,972,408,-15189.291,29960
888,0,3,977,408,-15172.429999999998,29960
