data_id,data_type,has_demogs,has_data,import_owner,tracker_type,software_type,sampling_rate,screen_dimensions,point_zero,link,readme_done,import_status,import_status_date,note
SkidLSDLab_adults,in-lab,Y,Y,,Logitech HD Pro Webcam C920,SMI Experiment Center,60 Hz,1920 x 1080,upper left,,,,,
SkidLSDLab_toddlers,in-lab,Y,Y,,Logitech HD Pro Webcam C920,SMI Experiment Center,60 Hz,1920 x 1080,upper left,,,,,
sociallabUCSD_toddlers,web-based,Y,Y,Adrian,web-based,,,1280  x  960,upper left,,,,,
socialcogUmiami_adults,in-lab,Y,Y,Mike,Tobii TX300,Tobii Studio,300 Hz,1280 x 720,upper left,,,,,
sociocognitivelab_adults,in-lab,Y,Y,,EyeLink 1000 Plus,EyeLink Experiment Builder,1000 Hz,1280 x 1024,upper left,,,,,
tauccd_adults,in-lab,Y,Y,,EyeLink 1000 Plus,EyeLink Experiment Builder,500 Hz,1280 x 1024,upper left,,,,,
tauccd_toddlers,in-lab,Y,Y,,EyeLink 1000 Plus,EyeLink Experiment Builder,500 Hz,1280 x 1024,upper left,,,,,
ToMcdlSalzburg_adults,in-lab,Y,Y,MZ,Tobii Pro X3–120,Tobii Studio,120 Hz,1920 x 1080,upper left,,,,,
ToMcdlSalzburg_toddlers,in-lab,Y,Y,MZ,Tobii Pro X3–120,Tobii Studio,120 Hz,1920 x 1080,upper left,,,,,
UIUCinfantlab_adults,in-lab,Y,Y,,EyeLink 1000 Plus,EyeLink Experiment Builder,500 Hz,1280 x 1024,upper left,,,,,
UIUCinfantlab_toddlers,in-lab,Y,Y,,EyeLink 1000 Plus,EyeLink Experiment Builder,500 Hz,1280 x 1024,upper left,,,,,
unicph_toddlers,in-lab,,,,EyeLink 1000 Plus,EyeLink Experiment Builder,1000 Hz,1280 x 1024,upper left,,,,,
WSUMARCS_adults,in-lab,Y,Y,Adrian,Tobii X120,Tobii Studio,120 Hz,1920 x 1080,upper left,,,,,
